run_id,scenario,timestamp,algorithm,dataset,threads,su,reg,iteration,status,runtime_ms,cpu_time_ms,preprocess_ms,peak_heap_mb,total_patterns_found,candidate_count,explored_nodes,pruned_tier1_eucs,pruned_tier2_peu,pruned_tier2_la_peu,pruned_node_cond,pruned_tier3_reg
FULL_SC4_1781598910714,SC4,2026-06-16T15:36:03.092785,Prop_RDLB,KOSARAK,1,0.01,0.005,1,SUCCESS,24357,16,412,1121,60,1393120,3334,751474,0,638312,0,298
FULL_SC4_1781598910714,SC4,2026-06-16T15:36:29.220226,Prop_RDLB,KOSARAK,1,0.01,0.005,2,SUCCESS,24321,16,409,1121,60,1393120,3334,751474,0,638312,0,298
FULL_SC4_1781598910714,SC4,2026-06-16T15:36:55.343585,Prop_RDLB,KOSARAK,1,0.01,0.005,3,SUCCESS,24310,16,409,1121,60,1393120,3334,751474,0,638312,0,298
FULL_SC4_1781598910714,SC4,2026-06-16T15:37:24.397366,Prop_RDLB,KOSARAK,2,0.01,0.005,1,SUCCESS,12709,19,251,1153,60,1393120,3334,751474,0,638312,0,298
FULL_SC4_1781598910714,SC4,2026-06-16T15:37:38.881302,Prop_RDLB,KOSARAK,2,0.01,0.005,2,SUCCESS,12677,19,247,1153,60,1393120,3334,751474,0,638312,0,298
FULL_SC4_1781598910714,SC4,2026-06-16T15:37:53.456903,Prop_RDLB,KOSARAK,2,0.01,0.005,3,SUCCESS,12768,19,245,1153,60,1393120,3334,751474,0,638312,0,298
FULL_SC4_1781598910714,SC4,2026-06-16T15:38:11.408639,Prop_RDLB,KOSARAK,4,0.01,0.005,1,SUCCESS,7222,24,261,1201,60,1393120,3334,751474,0,638312,0,298
FULL_SC4_1781598910714,SC4,2026-06-16T15:38:20.554668,Prop_RDLB,KOSARAK,4,0.01,0.005,2,SUCCESS,7354,25,261,1201,60,1393120,3334,751474,0,638312,0,298
FULL_SC4_1781598910714,SC4,2026-06-16T15:38:29.749882,Prop_RDLB,KOSARAK,4,0.01,0.005,3,SUCCESS,7391,24,261,1201,60,1393120,3334,751474,0,638312,0,298
FULL_SC4_1781598910714,SC4,2026-06-16T15:38:43.973576,Prop_RDLB,KOSARAK,8,0.01,0.005,1,SUCCESS,5356,33,216,1313,60,1393120,3334,751474,0,638312,0,298
