run_id,scenario,timestamp,algorithm,dataset,threads,su,reg,iteration,status,runtime_ms,cpu_time_ms,preprocess_ms,peak_heap_mb,total_patterns_found,candidate_count,explored_nodes,pruned_tier1_eucs,pruned_tier2_peu,pruned_tier2_la_peu,pruned_node_cond,pruned_tier3_reg
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:15.980546,Prop_RDLB_dense,BIBLE,1,0.02,0.02,1,SUCCESS,1054,0,34,247,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:17.588109,Prop_RDLB_dense,BIBLE,1,0.02,0.02,2,SUCCESS,1060,0,34,247,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:19.162849,Prop_RDLB_dense,BIBLE,1,0.02,0.02,3,SUCCESS,1047,0,33,247,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:24.965559,AHUS-P,BIBLE,1,0.02,-1.0,1,SUCCESS,2335,1,4,535,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:27.841523,AHUS-P,BIBLE,1,0.02,-1.0,2,SUCCESS,2337,1,8,535,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:30.716261,AHUS-P,BIBLE,1,0.02,-1.0,3,SUCCESS,2335,0,5,535,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:32.894688,Prop_RDLB_dense,BIBLE,2,0.02,0.02,1,SUCCESS,552,1,21,263,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:33.976186,Prop_RDLB_dense,BIBLE,2,0.02,0.02,2,SUCCESS,555,1,22,263,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:35.066303,Prop_RDLB_dense,BIBLE,2,0.02,0.02,3,SUCCESS,550,1,22,263,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:38.531192,AHUS-P,BIBLE,2,0.02,-1.0,1,SUCCESS,1206,0,2,535,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:40.283763,AHUS-P,BIBLE,2,0.02,-1.0,2,SUCCESS,1212,0,2,551,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:42.014121,AHUS-P,BIBLE,2,0.02,-1.0,3,SUCCESS,1208,0,2,551,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:43.676288,Prop_RDLB_dense,BIBLE,4,0.02,0.02,1,SUCCESS,295,1,14,263,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:44.490476,Prop_RDLB_dense,BIBLE,4,0.02,0.02,2,SUCCESS,294,1,14,263,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:45.324052,Prop_RDLB_dense,BIBLE,4,0.02,0.02,3,SUCCESS,293,1,15,263,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:47.707508,AHUS-P,BIBLE,4,0.02,-1.0,1,SUCCESS,642,0,1,551,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:48.885275,AHUS-P,BIBLE,4,0.02,-1.0,2,SUCCESS,640,0,2,535,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:50.044097,AHUS-P,BIBLE,4,0.02,-1.0,3,SUCCESS,633,0,2,535,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:51.533034,Prop_RDLB_dense,BIBLE,8,0.02,0.02,1,SUCCESS,202,2,10,295,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:52.279559,Prop_RDLB_dense,BIBLE,8,0.02,0.02,2,SUCCESS,205,2,10,279,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:53.024692,Prop_RDLB_dense,BIBLE,8,0.02,0.02,3,SUCCESS,206,2,10,295,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:54.940036,AHUS-P,BIBLE,8,0.02,-1.0,1,SUCCESS,439,0,1,567,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:55.891789,AHUS-P,BIBLE,8,0.02,-1.0,2,SUCCESS,429,0,1,567,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:56.846884,AHUS-P,BIBLE,8,0.02,-1.0,3,SUCCESS,424,0,1,567,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:58.253120,Prop_RDLB_dense,BIBLE,10,0.02,0.02,1,SUCCESS,173,3,10,311,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:58.973575,Prop_RDLB_dense,BIBLE,10,0.02,0.02,2,SUCCESS,181,3,10,279,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T15:59:59.672607,Prop_RDLB_dense,BIBLE,10,0.02,0.02,3,SUCCESS,176,3,9,311,191,85343,1236,38081,0,46026,0,392
FULL_SC6_1781600352816,SC6,2026-06-16T16:00:01.468910,AHUS-P,BIBLE,10,0.02,-1.0,1,SUCCESS,383,0,1,583,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:00:02.394626,AHUS-P,BIBLE,10,0.02,-1.0,2,SUCCESS,386,0,1,567,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:00:03.309948,AHUS-P,BIBLE,10,0.02,-1.0,3,SUCCESS,376,0,1,583,201,715642,4521,0,711121,0,120,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:00:04.516052,Prop_RDLB_dense,LEVIATHAN,1,0.004,0.01,1,SUCCESS,161,0,7,55,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:00:05.124745,Prop_RDLB_dense,LEVIATHAN,1,0.004,0.01,2,SUCCESS,164,0,8,55,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:00:05.715264,Prop_RDLB_dense,LEVIATHAN,1,0.004,0.01,3,SUCCESS,161,0,8,55,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:00:39.995996,AHUS-P,LEVIATHAN,1,0.004,-1.0,1,SUCCESS,16555,0,1,4977,584536,209751838,1450153,0,208301685,0,48294,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:00:57.064597,AHUS-P,LEVIATHAN,1,0.004,-1.0,2,SUCCESS,16547,0,1,4978,584536,209751838,1450153,0,208301685,0,48294,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:01:14.144523,AHUS-P,LEVIATHAN,1,0.004,-1.0,3,SUCCESS,16558,0,2,4979,584536,209751838,1450153,0,208301685,0,48294,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:01:15.141874,Prop_RDLB_dense,LEVIATHAN,2,0.004,0.01,1,SUCCESS,91,0,4,55,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:01:15.654286,Prop_RDLB_dense,LEVIATHAN,2,0.004,0.01,2,SUCCESS,91,0,5,55,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:01:16.171371,Prop_RDLB_dense,LEVIATHAN,2,0.004,0.01,3,SUCCESS,91,0,5,55,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:01:33.978547,AHUS-P,LEVIATHAN,2,0.004,-1.0,1,SUCCESS,8425,0,0,5028,584536,209751838,1450153,0,208301685,0,48294,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:01:42.861039,AHUS-P,LEVIATHAN,2,0.004,-1.0,2,SUCCESS,8392,0,1,5027,584536,209751838,1450153,0,208301685,0,48294,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:01:51.738440,AHUS-P,LEVIATHAN,2,0.004,-1.0,3,SUCCESS,8399,0,0,5030,584536,209751838,1450153,0,208301685,0,48294,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:01:52.667664,Prop_RDLB_dense,LEVIATHAN,4,0.004,0.01,1,SUCCESS,54,0,3,71,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:01:53.130525,Prop_RDLB_dense,LEVIATHAN,4,0.004,0.01,2,SUCCESS,57,0,3,71,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:01:53.592030,Prop_RDLB_dense,LEVIATHAN,4,0.004,0.01,3,SUCCESS,55,0,4,71,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:02:03.268421,AHUS-P,LEVIATHAN,4,0.004,-1.0,1,SUCCESS,4367,0,0,5001,584536,209751838,1450153,0,208301685,0,48294,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:02:08.171643,AHUS-P,LEVIATHAN,4,0.004,-1.0,2,SUCCESS,4403,0,1,4999,584536,209751838,1450153,0,208301685,0,48294,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:02:13.113097,AHUS-P,LEVIATHAN,4,0.004,-1.0,3,SUCCESS,4442,0,1,4999,584536,209751838,1450153,0,208301685,0,48294,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:02:13.993860,Prop_RDLB_dense,LEVIATHAN,8,0.004,0.01,1,SUCCESS,35,1,3,71,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:02:14.441803,Prop_RDLB_dense,LEVIATHAN,8,0.004,0.01,2,SUCCESS,36,1,3,71,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:02:14.884930,Prop_RDLB_dense,LEVIATHAN,8,0.004,0.01,3,SUCCESS,34,1,2,71,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:02:22.144180,AHUS-P,LEVIATHAN,8,0.004,-1.0,1,SUCCESS,3196,0,1,5019,584536,209751838,1450153,0,208301685,0,48294,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:02:25.750951,AHUS-P,LEVIATHAN,8,0.004,-1.0,2,SUCCESS,3088,0,0,5007,584536,209751838,1450153,0,208301685,0,48294,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:02:29.431007,AHUS-P,LEVIATHAN,8,0.004,-1.0,3,SUCCESS,3194,0,1,5028,584536,209751838,1450153,0,208301685,0,48294,0
FULL_SC6_1781600352816,SC6,2026-06-16T16:02:30.339649,Prop_RDLB_dense,LEVIATHAN,10,0.004,0.01,1,SUCCESS,31,1,3,87,223,5867,5195,255,0,417,0,4951
FULL_SC6_1781600352816,SC6,2026-06-16T16:02:30.794413,Prop_RDLB_dense,LEVIATHAN,10,0.004,0.01,2,SUCCESS,32,1,3,87,223,5867,5195,255,0,417,0,4951
