dataset,su,reg,threads,tau,iteration,runtime_ms,patterns,peak_MB
BIBLE,0.01,0.02,10,16,1,320,574,455
BIBLE,0.01,0.02,10,16,2,305,574,439
BIBLE,0.01,0.02,10,16,3,300,574,439
BIBLE,0.01,0.02,10,16,4,304,574,455
BIBLE,0.01,0.02,10,16,5,296,574,439
BIBLE,0.01,0.02,10,16,6,299,574,439
BIBLE,0.01,0.02,10,16,7,301,574,439
BIBLE,0.01,0.02,10,32,1,300,574,439
BIBLE,0.01,0.02,10,32,2,301,574,439
BIBLE,0.01,0.02,10,32,3,301,574,439
BIBLE,0.01,0.02,10,32,4,301,574,455
BIBLE,0.01,0.02,10,32,5,311,574,455
BIBLE,0.01,0.02,10,32,6,299,574,439
BIBLE,0.01,0.02,10,32,7,300,574,439
BIBLE,0.01,0.02,10,64,1,302,574,439
BIBLE,0.01,0.02,10,64,2,301,574,455
BIBLE,0.01,0.02,10,64,3,306,574,439
BIBLE,0.01,0.02,10,64,4,301,574,455
BIBLE,0.01,0.02,10,64,5,310,574,439
BIBLE,0.01,0.02,10,64,6,311,574,439
BIBLE,0.01,0.02,10,64,7,293,574,455
BIBLE,0.01,0.02,10,128,1,304,574,439
BIBLE,0.01,0.02,10,128,2,303,574,455
BIBLE,0.01,0.02,10,128,3,307,574,455
BIBLE,0.01,0.02,10,128,4,306,574,455
BIBLE,0.01,0.02,10,128,5,306,574,439
BIBLE,0.01,0.02,10,128,6,294,574,455
BIBLE,0.01,0.02,10,128,7,303,574,439
BIBLE,0.01,0.02,10,256,1,298,574,439
BIBLE,0.01,0.02,10,256,2,299,574,455
BIBLE,0.01,0.02,10,256,3,301,574,455
BIBLE,0.01,0.02,10,256,4,299,574,455
BIBLE,0.01,0.02,10,256,5,299,574,439
BIBLE,0.01,0.02,10,256,6,303,574,455
BIBLE,0.01,0.02,10,256,7,304,574,439
FIFA,0.04,0.05,10,16,1,25960,123,4938
FIFA,0.04,0.05,10,16,2,26072,123,4938
FIFA,0.04,0.05,10,16,3,26266,123,4938
FIFA,0.04,0.05,10,16,4,25767,123,4938
FIFA,0.04,0.05,10,16,5,25886,123,4938
FIFA,0.04,0.05,10,16,6,25850,123,4938
FIFA,0.04,0.05,10,16,7,26021,123,4939
FIFA,0.04,0.05,10,32,1,26508,123,4938
FIFA,0.04,0.05,10,32,2,27990,123,4938
FIFA,0.04,0.05,10,32,3,30364,123,4938
FIFA,0.04,0.05,10,32,4,29053,123,4938
FIFA,0.04,0.05,10,32,5,26363,123,4938
FIFA,0.04,0.05,10,32,6,26097,123,4938
FIFA,0.04,0.05,10,32,7,26129,123,4938
FIFA,0.04,0.05,10,64,1,26141,123,4938
FIFA,0.04,0.05,10,64,2,26406,123,4938
FIFA,0.04,0.05,10,64,3,26292,123,4938
FIFA,0.04,0.05,10,64,4,26277,123,4938
FIFA,0.04,0.05,10,64,5,26255,123,4938
FIFA,0.04,0.05,10,64,6,26149,123,4938
FIFA,0.04,0.05,10,64,7,26154,123,4938
FIFA,0.04,0.05,10,128,1,26283,123,4938
FIFA,0.04,0.05,10,128,2,26232,123,4938
FIFA,0.04,0.05,10,128,3,26384,123,4938
FIFA,0.04,0.05,10,128,4,26716,123,4938
FIFA,0.04,0.05,10,128,5,26174,123,4938
FIFA,0.04,0.05,10,128,6,26369,123,4938
FIFA,0.04,0.05,10,128,7,26253,123,4938
