dataset,su,reg,threads,tau,median_ms,min_ms,max_ms,spread_pct,patterns,peak_MB
BIBLE,0.01,0.02,10,16,301,296,320,8.0,574,439
BIBLE,0.01,0.02,10,32,301,299,311,4.0,574,439
BIBLE,0.01,0.02,10,64,302,293,311,6.0,574,455
BIBLE,0.01,0.02,10,128,304,294,307,4.3,574,439
BIBLE,0.01,0.02,10,256,299,298,304,2.0,574,439
FIFA,0.04,0.05,10,16,25960,25767,26266,1.9,123,4939
FIFA,0.04,0.05,10,32,26508,26097,30364,16.1,123,4938
FIFA,0.04,0.05,10,64,26255,26141,26406,1.0,123,4938
FIFA,0.04,0.05,10,128,26283,26174,26716,2.1,123,4938
FIFA,0.04,0.05,10,256,26323,26174,26530,1.4,123,4938
LEVIATHAN,0.0015,0.01,10,16,33,32,34,6.1,240,71
LEVIATHAN,0.0015,0.01,10,32,34,33,35,5.9,240,71
LEVIATHAN,0.0015,0.01,10,64,33,32,35,9.1,240,71
LEVIATHAN,0.0015,0.01,10,128,33,32,34,6.1,240,71
LEVIATHAN,0.0015,0.01,10,256,34,32,35,8.8,240,87
C8T1S5I8N5K,2.0E-5,0.1,10,16,1347,1337,1369,2.4,461588,7319
C8T1S5I8N5K,2.0E-5,0.1,10,32,1377,1362,1384,1.6,461588,7323
C8T1S5I8N5K,2.0E-5,0.1,10,64,1498,1399,1531,8.8,461588,7318
C8T1S5I8N5K,2.0E-5,0.1,10,128,1589,1493,1628,8.5,461588,7303
C8T1S5I8N5K,2.0E-5,0.1,10,256,1632,1517,1714,12.1,461588,7308
